class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1860-11,,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jD5hNbBz25A4,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Camille Schubert,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:12977319,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}, {'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",1860-11,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jD5hNbBz25A4', 'label': 'Camille Schubert'}, {'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CsmdRaVBmz3o', 'label': 'Schott Music'}]",,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,title,,,,,,,,,,,,,,,,La crainte et l'émotion: quadrille élégant,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La crainte et l'émotion. Quadrille élégant,,,La crainte et l'émotion. Quadrille élégant,La crainte et l'émotion. Quadrille élégant.md,AV5MnAzByZcG,174883356957191079428,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
