class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_holding_institution,has_version_permalink,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aRNbPTwmsbtP,mazurka,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,Trésor des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PiqNkd3hzjnY,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Adrien Talexy,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,has_version,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,title,,,,,,,,,,,,,Thalie: Polka mazurka.,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,instrumentation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,based_on,,,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Thalie,,,Thalie,Thalie.md,AgTowXcdYL6T,179008371225655632424,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
