class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,language_label,based_on_value
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,24.0,1856-03-01,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GwA6AyoA6rSz,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Eugène de Lonlay,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/EZRQ4FAbVngs,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Charles-Henri Plantade,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-03-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,title,,,,,,,,,,,,,,,Le Mariage chinois: Extraite de l'Album du C.te Eugène de Lonlay.,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,about,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BCSvsKmuf8u3,exoticism,,,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Le Mariage chinois,,,Le Mariage chinois,Le Mariage chinois.md,FiFAWv3HUTn6,282831548827818951397,based_on,,,,,,,,,,,,,,,,,,,,,,,,
