class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jUohUDQ7mo5u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonnés du Journal des Demoiselles,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BYP8tqy6dgqh,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Jean-Baptiste-Joseph Tolbecque,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=61733,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,title,,,,,,,,,,,,,,Le carnaval au pensionnat : quadrille / J. B. Tolbecque,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le carnaval au pensionnat. Quadrille,,,Le carnaval au pensionnat. Quadrille,Le carnaval au pensionnat. Quadrille.md,MngB2vLHBvt6,408253924763040932326,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
