class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,contributor_note,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_note,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1856-09,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3vDTjkF6fXYz,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",A. Vialon,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/QefcFcp5yGSk,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Délia Belloni,A Mme Zélia Belloni.,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ku7b5p7YSdzi,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Antoine Scard,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88508,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",Edition belge.,1856-09,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,title,,,,,,,,,,,,,,,,Le réveil de la nature : duetto pour soprano et mezzo-soprano ; à Madame Délia Belloni / paroles de A. Vialon ; musique de A. Scard,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,2.0,voice,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,depicts,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,about,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,,,Le réveil de la nature. Duetto pour soprano et mezzo-soprano,Le réveil de la nature. Duetto pour soprano et mezzo-soprano.md,Pfu97uFDuP6p,447073847113182073942,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Rbyhy2fEYa2g,duet
