class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_note,has_version_publication_date,has_version_publisher,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aph6QHtmL78s,romance,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,9.0,1852-01-01,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,,1853-04-01,Trésor des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/o9wrXKJXFPNx,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Louis Pierre Deffès,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CXpPMVRq6JaP,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Hippolyte Guérin,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,has_version,,,,,,,,,,,https://anet.be/record/opacdkvc/c:lvd:14436621,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}",dedicated to the Trésor des demoiselles' subscribers.,1853-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4k5EPcbvKbQE', 'label': 'Joseph Meynne'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,has_version,,,,,,,,,,,http://ark.bnf.fr/ark:/12148/cb42940871v,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}",,1861-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/M4ikqTkXma6r', 'label': 'Édouard Gérard'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",aux Abonnés du Trésor des Demoiselles.,1853-04-01,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,title,,,,,,,,,,,,,,,,,En écoutant avec son coeur,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,En écoutant avec son coeur,,,En écoutant avec son coeur,En écoutant avec son coeur.md,ScUaW5x7afcg,507739489318998451211,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
