class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,25.0,1857-01-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/YKxiqAW7Evgt,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Florine Mouvielle,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1857-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}",,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,title,,,,,,,,,,,,,,,Vole Vite,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole Vite,,,Vole Vite,Vole Vite.md,VqKwz7CTAa94,574298853941222247497,based_on,,,,,,,,,,,,,,,,,,,,,,
