class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,date_of_birth,,,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,described_by_source,,,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,date_of_death,,,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,place_of_birth,,,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,place_of_death,,,,,,,,,,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q55837035,,,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,
Agent,Charles Le Corbeiller,,,Charles Le Corbeiller,Charles Le Corbeiller.md,ckc24LpP764N,717041950546159217564,related_to,,,,,,,,,,,,,
