class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,24.0,1856-11-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NYeqU3eqcUoH,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Philip Musard,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bqLWPNXVxrhM,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Alexandre Scola,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-11-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,title,,,,,,,,,,,,,,,L'Ouragan: Quadrille par Musard: Arrangé à quatre mains par A. Scola.,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/kc8mMg6XAXbn,1.0,piano four hands,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Ouragan,,,L'Ouragan,L'Ouragan.md,g24ctTK5q9V8,784180786063434023688,based_on,,,,,,,,,,,,,,,,,,,,,,
