class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-11,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8XSuzc4cjCmp,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Carl Maria von Weber,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4Z9bCRmwDbS7,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3yS9agtba9rA', 'label': 'translator'}",Paul Dubourg,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012400889706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,title,,,,,,,,,,,,,,Le soir : mélodie de Weber ; paroles de Paul Dubourg.,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le soir. Mélodie,,,Le soir. Mélodie,Le soir. Mélodie.md,gLFPG899X7sw,790765732498204546868,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WHdDug4Xwv3G,mélodie
