class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,date_of_birth,,,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,described_by_source,,,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,date_of_death,,,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,place_of_birth,,,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,place_of_death,,,,,,,,,,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q141452417,,,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,
Agent,Célestin Demeur,,,Célestin Demeur,Célestin Demeur.md,gM8jfdtRkzP9,791085580162399529431,related_to,,,,,,,,,,,,,
